merchant_key,merchant_name,public_entity,ticker,exchange,listing_status,financial_data_level,provider_set,provider_count,public_match_audit_status,official_url_candidates,confirmed_bnpl_adoption_date,confirmed_bnpl_provider,confirmed_date_type,confirmed_evidence_strength,confirmed_evidence_source_type,confirmed_evidence_url,confirmed_evidence_quote_or_note,weak_provider_directory_first_observed_date,weak_provider_directory_provider,weak_provider_directory_url,weak_provider_directory_wayback_url,weak_provider_directory_cdx_error,research_notes,clean_company_key,verified_broad_industry,verified_sub_industry,classification_confidence,verification_status,country_market,cik,listing_match_confidence,needs_listing_review,public_company_name,public_parent_name,adoption_date,adoption_year,adoption_quarter,adoption_quarter_index,sample_main_direct_public,sample_parent_level_robustness,is_us_sec_candidate,ticker_for_sec_match,window_start_year,window_end_year
asos,asos,ASOS Plc,ASC.L,London Stock Exchange,direct_public,merchant_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.asosplc.com/investors/,2019/12/16,clearpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20191216175204/https://www.asos.com/payments-and-deliveries/clearpay/,Wayback snapshot of ASOS official Clearpay payment page shows customers could split ASOS purchases with Clearpay.,2020/8/5,clearpay,https://www.clearpay.co.uk/en-GB/stores/asos-20612,http://web.archive.org/web/20200805013135/https://www.clearpay.co.uk/en-GB/stores/asos-20612,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: clearpay 2019-12-16 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20191216175204/https://www.asos.com/payments-and-deliveries/clearpay/",asos,Apparel & Fashion,Bags & accessories,high,official_website_verified,UK,,manual,FALSE,ASOS Plc,,2019/12/16,2019,2019Q4,8080,TRUE,FALSE,FALSE,ASC-L,2009,2029
boohoo,boohoo,Boohoo Group plc,BOO.L,London Stock Exchange,direct_public,merchant_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.boohooplc.com/investors/,2025/5/12,clearpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20250512210107/https://www.boohoo.com/pages/informational/payments/clearpay,Wayback snapshot of boohoo official Clearpay payment information page; late official-page observation relative to weak provider-directory date.,2021/9/27,zip,https://zip.co/us/store/boohoo,http://web.archive.org/web/20210927201836/https://zip.co/us/store/boohoo,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: clearpay 2025-05-12 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20250512210107/https://www.boohoo.com/pages/informational/payments/clearpay",boohoo,Apparel & Fashion,Bags & accessories,high,official_website_verified,UK,,manual,FALSE,Boohoo Group plc,,2025/5/12,2025,2025Q2,8102,TRUE,FALSE,FALSE,BOO-L,2015,2035
dsw,dsw,Designer Brands Inc.,DBI,NYSE,subsidiary_of_public,parent_level,affirm; afterpay; zip,3,confirmed_or_manually_mapped_public,https://www.dsw.com/; https://investors.designerbrands.com/,2020/10/13,afterpay,official_in_store_rollout,medium_provider_release,provider_press_release,https://www.prnewswire.com/news-releases/afterpay-offers-in-store-payment-solution-across-us-301150934.html,Afterpay PRNewswire release announced its U.S. in-store solution and listed select DSW stores among participating retailers.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/dsw,http://web.archive.org/web/20210514200152/https://www.afterpay.com/en-US/stores/dsw,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-10-13 official_in_store_rollout [medium_provider_release]: https://www.prnewswire.com/news-releases/afterpay-offers-in-store-payment-solution-across-us-301150934.html",dsw,Sports & Outdoor,Athletic footwear & apparel,medium,official_website_verified,US,,manual,FALSE,,Designer Brands Inc.,2020/10/13,2020,2020Q4,8084,FALSE,TRUE,TRUE,DBI,2010,2030
ebay,eBay,eBay Inc.,EBAY,NASDAQ,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://www.cnbcindonesia.com/tech/20190315155326-37-60967/yang-lain-sudah-unicorn-duet-e-bay-telkom-kok-masih-kecoa; https://finance.yahoo.com/quote/EBAY,2025/4/23,klarna,official_us_rollout,strong,merchant_press_release,https://www.ebayinc.com/stories/news/ebay-and-klarna-deepen-global-strategic-partnership-to-empower-flexible-shopping-in-the-us/,eBay announced Klarna flexible payment options rolling out to U.S. shoppers.,2021/9/21,zip,https://zip.co/us/store/ebay,http://web.archive.org/web/20210921001820/https://zip.co/us/store/ebay,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2024-12-12 official_europe_rollout [strong_non_us]: https://www.klarna.com/international/press/ebay-and-klarna-expand-partnership-bringing-buy-now-pay-later-bnpl-to-new-markets/ | klarna 2025-04-23 official_us_rollout [strong]: https://www.ebayinc.com/stories/news/ebay-and-klarna-deepen-global-strategic-partnership-to-empower-flexible-shopping-in-the-us/",ebay,Marketplace / General Retail,Cross-border marketplace,high,official_website_verified,,,high,FALSE,eBay Inc.,,2025/4/23,2025,2025Q2,8102,TRUE,FALSE,TRUE,EBAY,2015,2035
gap,gap,"The Gap, Inc.",GAP,NYSE,direct_public,merchant_level,affirm; afterpay; klarna,3,auto_public_match_needs_light_review,https://www.gap.com/; https://finance.yahoo.com/quote/GAP,2020/11/11,afterpay,official_online_checkout_adoption,strong,provider_press_release,https://www.prnewswire.com/news-releases/gap-inc-and-afterpay-announce-new-partnership-in-time-for-holiday-shopping-301170700.html,Afterpay announced Gap Inc. online shoppers could choose Afterpay at checkout across Gap portfolio brands.,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/gap,http://web.archive.org/web/20240528161932/https://www.afterpay.com/en-US/stores/gap,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-11-11 official_online_checkout_adoption [strong]: https://www.prnewswire.com/news-releases/gap-inc-and-afterpay-announce-new-partnership-in-time-for-holiday-shopping-301170700.html | klarna 2025-09-11 official_checkout_adoption_or_expansion [strong]: https://www.klarna.com/international/press/gap-inc-partners-with-klarna-to-offer-seamless-flexible-payments-across/",gap,Apparel & Fashion,Fashion / apparel,high,official_website_verified,,,high,FALSE,"The Gap, Inc.",,2020/11/11,2020,2020Q4,8084,TRUE,FALSE,TRUE,GAP,2010,2030
levis,levis,Levi Strauss & Co.,LEVI,NYSE,direct_public,merchant_level,affirm; afterpay; zip,3,confirmed_or_manually_mapped_public,https://www.levi.com/US/en_US/; https://www.levistrauss.com/investors/,2019/6/11,afterpay,reported_afterpay_partnership,medium_news_report,news_report,https://www.retaildive.com/news/afterpay-brings-payment-installments-to-levis-ray-ban/556464/,Retail Dive reported Afterpay brought installment payments to Levi's and Ray-Ban.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/levi-s-03203,http://web.archive.org/web/20210514192500/https://www.afterpay.com/en-US/stores/levi-s-03203,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2019-06-11 reported_afterpay_partnership [medium_news_report]: https://www.retaildive.com/news/afterpay-brings-payment-installments-to-levis-ray-ban/556464/",levis,Apparel & Fashion,Fashion / apparel,medium,official_website_verified_plus_search_fallback,US,,manual,FALSE,Levi Strauss & Co.,,2019/6/11,2019,2019Q2,8078,TRUE,FALSE,TRUE,LEVI,2009,2029
macys,macys,"Macy's, Inc.",M,NYSE,direct_public,merchant_level,affirm; klarna; zip,3,auto_public_match_needs_light_review,https://www.macys.com/; https://finance.yahoo.com/quote/M,2020/10/6,klarna,official_online_checkout_adoption,strong,provider_press_release,https://www.klarna.com/international/press/macys-and-klarna-announce-new-five-year-partnership-to-provide-more-payment-options/,Klarna and Macy's announced Pay in 4 at online checkout.,2021/9/21,zip,https://zip.co/us/store/macys,http://web.archive.org/web/20210921001413/https://zip.co/us/store/macys,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2020-10-06 official_online_checkout_adoption [strong]: https://www.klarna.com/international/press/macys-and-klarna-announce-new-five-year-partnership-to-provide-more-payment-options/ | klarna 2021-05-03 in_store_expansion [expansion_not_initial]: https://www.klarna.com/international/press/macys-inc-exclusively-partners-with-klarna-to-offer-pay-in-four-services-in-750-stores-nationwide/",macys,Marketplace / General Retail,Department store / omnichannel retail,high,official_website_verified,,,high,FALSE,"Macy's, Inc.",,2020/10/6,2020,2020Q4,8084,TRUE,FALSE,TRUE,M,2010,2030
michaelkors,michaelkors,Capri Holdings Limited,CPRI,NYSE,subsidiary_of_public,parent_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.capriholdings.com/investors/,2023/10/1,afterpay_klarna,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20231001181422/https://www.michaelkors.com/info/payment-policy.html,Wayback snapshot of Michael Kors official payment policy lists Afterpay and Klarna among accepted online payment options.,2021/9/27,zip,https://zip.co/us/store/michael-kors,http://web.archive.org/web/20210927191927/https://zip.co/us/store/michael-kors,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay_klarna 2023-10-01 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20231001181422/https://www.michaelkors.com/info/payment-policy.html",michaelkors,Apparel & Fashion,Designer fashion & accessories,medium,official_website_verified_plus_search_fallback,US,,manual,FALSE,,Capri Holdings Limited,2023/10/1,2023,2023Q4,8096,FALSE,TRUE,TRUE,CPRI,2013,2033
prettylittlething,prettylittlething,Boohoo Group plc,BOO.L,London Stock Exchange,subsidiary_of_public,parent_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.boohooplc.com/investors/,2026/3/6,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20260306052640/https://www.prettylittlething.us/pages/informational/payments/afterpay,Wayback snapshot of PrettyLittleThing USA official Afterpay payment page; late official-page observation relative to weak provider-directory date.,2020/9/23,clearpay,https://www.clearpay.co.uk/en-GB/stores/pretty-little-thing,http://web.archive.org/web/20200923000939/https://www.clearpay.co.uk/en-GB/stores/pretty-little-thing,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2026-03-06 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20260306052640/https://www.prettylittlething.us/pages/informational/payments/afterpay",prettylittlething,Apparel & Fashion,Bags & accessories,high,official_website_verified,UK,,manual,FALSE,,Boohoo Group plc,2026/3/6,2026,2026Q1,8105,FALSE,TRUE,FALSE,BOO-L,2016,2036
target,target,Target Corporation,TGT,NYSE,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://www.target.com/c/hearth-hand-with-magnolia/-/N-4k98u; https://finance.yahoo.com/quote/TGT,2021/10/6,affirm_sezzle,official_adoption_announcement,strong,merchant_press_article,https://corporate.target.com/news-features/article/2021/10/buy-now-pay-later,Target announced BNPL options with Affirm and Sezzle for holiday shopping.,2021/9/23,zip,https://zip.co/us/store/target,http://web.archive.org/web/20210923080451/https://zip.co/us/store/target,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm_sezzle 2021-10-06 official_adoption_announcement [strong]: https://corporate.target.com/news-features/article/2021/10/buy-now-pay-later",target,Marketplace / General Retail,Big-box / general merchandise,high,official_website_verified,,,high,FALSE,Target Corporation,,2021/10/6,2021,2021Q4,8088,TRUE,FALSE,TRUE,TGT,2011,2031
urbanoutfitters,urbanoutfitters,"Urban Outfitters, Inc.",URBN,NASDAQ,subsidiary_of_public,parent_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.urbn.com/investor-relations,2022/5/17,klarna,us_expansion_report,medium_news_report,news_report,https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/,PYMNTS reported Klarna expanded Pay in 4 online to Urban Outfitters and Anthropologie banners in the U.S.,2020/9/22,clearpay,https://www.clearpay.co.uk/en-GB/stores/urban-outfitters,http://web.archive.org/web/20200922233736/https://www.clearpay.co.uk/en-GB/stores/urban-outfitters,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2020-11-18 official_europe_online_checkout_adoption [strong_non_us]: https://www.klarna.com/international/press/urban-outfitters-and-anthropologie-partners-with-klarna-ahead-of-peak/ | klarna 2022-05-17 us_expansion_report [medium_news_report]: https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/",urbanoutfitters,Apparel & Fashion,Bags & accessories,high,official_website_verified,US,,manual,FALSE,,"Urban Outfitters, Inc.",2022/5/17,2022,2022Q2,8090,FALSE,TRUE,TRUE,URBN,2012,2032
1800flowers,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://investors.1800flowers.com/,2022/1/20,klarna,official_adoption_announcement,strong,merchant_press_release,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,"1-800-FLOWERS.COM press release announced customers could now check out with Klarna as a Buy Now, Pay Later option.",2021/9/21,zip,https://zip.co/us/store/1-800-flowers,http://web.archive.org/web/20210921001010/https://zip.co/us/store/1-800-flowers,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2022-01-20 official_adoption_announcement [strong]: https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804",1800flowers,Apparel & Fashion,Bags & accessories,high,official_website_verified,US,,manual,FALSE,"1-800-FLOWERS.COM, Inc.",,2022/1/20,2022,2022Q1,8089,TRUE,FALSE,TRUE,FLWS,2012,2032
bhldn,BHLDN,"Urban Outfitters, Inc.",URBN,NASDAQ,subsidiary_of_public,parent_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://www.urbn.com/investor-relations,2022/5/17,klarna,us_expansion_report,medium_news_report,news_report,https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/,PYMNTS reported the U.S. Klarna expansion covered items from BHLDN among URBN banners.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/bhldn,http://web.archive.org/web/20210514202821/https://www.afterpay.com/en-US/stores/bhldn,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2022-05-17 us_expansion_report [medium_news_report]: https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/",bhldn,Apparel & Fashion,Bags & accessories,high,official_website_verified,US,,manual,FALSE,,"Urban Outfitters, Inc.",2022/5/17,2022,2022Q2,8090,FALSE,TRUE,TRUE,URBN,2012,2032
clinique,Clinique,The Estee Lauder Companies Inc.,EL,NYSE,subsidiary_of_public,parent_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://www.elcompanies.com/en/investors,2019/10/14,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20191014125226/https://www.clinique.com/afterpay,Wayback snapshot of Clinique official Afterpay page shows Afterpay payment information.,2021/9/22,zip,https://zip.co/us/store/clinique,http://web.archive.org/web/20210922021427/https://zip.co/us/store/clinique,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2019-10-14 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20191014125226/https://www.clinique.com/afterpay",clinique,Apparel & Fashion,Bags & accessories,high,official_website_verified,US,,manual,FALSE,,The Estee Lauder Companies Inc.,2019/10/14,2019,2019Q4,8080,FALSE,TRUE,TRUE,EL,2009,2029
dermalogica,Dermalogica,Unilever PLC,UL,NYSE ADR,subsidiary_of_public,parent_level,affirm; afterpay,2,confirmed_or_manually_mapped_public,https://www.dermalogica.com/; https://www.unilever.com/investors/,2020/10/21,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_help_page,https://web.archive.org/web/20201021044044/https://www.dermalogica.com/pages/contact-us,Wayback snapshot of Dermalogica official contact/payment help page shows Afterpay checkout instructions and four-installment language.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/dermalogica-78927,http://web.archive.org/web/20210514204430/https://www.afterpay.com/en-US/stores/dermalogica-78927,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-10-21 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20201021044044/https://www.dermalogica.com/pages/contact-us",dermalogica,Beauty & Personal Care,Skincare,high,official_website_verified,UK,,manual,FALSE,,Unilever PLC,2020/10/21,2020,2020Q4,8084,FALSE,TRUE,TRUE,UL,2010,2030
eyebuydirect,EyeBuyDirect,EssilorLuxottica SA,EL.PA,Euronext Paris,subsidiary_of_public,parent_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://www.essilorluxottica.com/investors/,2022/2/22,afterpay,official_partnership_announcement,strong,merchant_press_release,https://www.prnewswire.com/news-releases/eyebuydirect-and-afterpay-partner-to-offer-buy-now-pay-later-payments-301486590.html,EyeBuyDirect PRNewswire release announced an Afterpay partnership and said customers could select Afterpay at checkout.,2022/5/18,afterpay,https://www.afterpay.com/en-us/stores/eyebuydirect,http://web.archive.org/web/20220518201144/https://www.afterpay.com/en-US/stores/eyebuydirect,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2022-02-22 official_partnership_announcement [strong]: https://www.prnewswire.com/news-releases/eyebuydirect-and-afterpay-partner-to-offer-buy-now-pay-later-payments-301486590.html",eyebuydirect,Apparel & Fashion,Bags & accessories,high,official_website_verified,France,,manual,FALSE,,EssilorLuxottica SA,2022/2/22,2022,2022Q1,8089,FALSE,TRUE,FALSE,EL-PA,2012,2032
puma,Puma,PUMA SE,PUM.SW,Swiss,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/PUM.SW,2025/12/19,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20251219031548/https://help.us.puma.com/hc/en-us/articles/38821030312347-Payment-Options,Wayback snapshot of PUMA US official payment-options page lists Afterpay and says shop now and pay later with Afterpay; late official-page observation relative to weak provider-directory date.,2021/9/22,zip,https://zip.co/us/store/puma,http://web.archive.org/web/20210922032701/https://zip.co/us/store/puma,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2025-12-19 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20251219031548/https://help.us.puma.com/hc/en-us/articles/38821030312347-Payment-Options",puma,Apparel & Fashion,Bags & accessories,high,official_website_verified,,,high,FALSE,PUMA SE,,2025/12/19,2025,2025Q4,8104,TRUE,FALSE,FALSE,PUM-SW,2015,2035
aritzia,aritzia,Aritzia Inc.,ATZAF,OTC Markets,direct_public,merchant_level,affirm; zip,2,auto_public_match_needs_light_review,https://aritzia.com/us/en/default; https://finance.yahoo.com/quote/ATZAF,2020/11/26,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20201126122848/https://www.aritzia.com/us/en/afterpay,Wayback snapshot of Aritzia US official Afterpay page; page title and content identify Afterpay payment information.,2022/5/26,zip,https://zip.co/us/store/aritzia,http://web.archive.org/web/20220526074818/https://zip.co/us/store/aritzia,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-11-26 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20201126122848/https://www.aritzia.com/us/en/afterpay",aritzia,Apparel & Fashion,Fashion / apparel,medium,official_website_verified_plus_search_fallback,,,high,FALSE,Aritzia Inc.,,2020/11/26,2020,2020Q4,8084,TRUE,FALSE,TRUE,ATZAF,2010,2030
birkenstock,birkenstock,Birkenstock Holding plc,BIRK,NYSE,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/BIRK,2020/5/14,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20200514171230/https://www.birkenstock.com/us/learn-more/afterpay/,Wayback snapshot of Birkenstock US official Afterpay page shows Afterpay payment information.,2022/5/17,zip,https://zip.co/us/store/birkenstock,http://web.archive.org/web/20220517202837/https://zip.co/us/store/birkenstock,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-05-14 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20200514171230/https://www.birkenstock.com/us/learn-more/afterpay/",birkenstock,Apparel & Fashion,Bags & accessories,high,official_website_verified,,,high,FALSE,Birkenstock Holding plc,,2020/5/14,2020,2020Q2,8082,TRUE,FALSE,TRUE,BIRK,2010,2030
crocs,crocs,"Crocs, Inc.",CROX,NASDAQ,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/CROX,2021/12/2,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_help_page,https://web.archive.org/web/20211202192846/https://www.crocs.com/customer-service/faqs/faq-cs-afterpay.html,"Wayback snapshot of Crocs official Afterpay FAQ page; Afterpay also described 2020 Crocs partnership in provider success-story materials, but this row uses official-page first observation.",2021/9/27,zip,https://zip.co/us/store/crocs,http://web.archive.org/web/20210927203533/https://zip.co/us/store/crocs,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2021-12-02 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20211202192846/https://www.crocs.com/customer-service/faqs/faq-cs-afterpay.html",crocs,Apparel & Fashion,Bags & accessories,high,official_website_verified,,,high,FALSE,"Crocs, Inc.",,2021/12/2,2021,2021Q4,8088,TRUE,FALSE,TRUE,CROX,2011,2031