merchant_key,merchant_name,listing_status,financial_data_available,financial_data_level,public_company_name,public_parent_name,ticker,exchange,country_market,cik,listing_match_confidence,needs_listing_review,source_url,notes
jdsports,JDSports,direct_public,yes,merchant_level,JD Sports Fashion plc,,JD.L,London Stock Exchange,UK,,manual,false,https://www.jdsportsfashion.com/investors/,"Direct public company; use JD Sports Fashion plc public financials."
finishline,FinishLine,subsidiary_of_public,partial,parent_level,,JD Sports Fashion plc,JD.L,London Stock Exchange,UK,,manual,false,https://www.jdsportsfashion.com/investors/,"Finish Line is treated as a JD Sports Fashion brand/subsidiary; parent-level financials only."
dtlr,DTLR,subsidiary_of_public,partial,parent_level,,JD Sports Fashion plc,JD.L,London Stock Exchange,UK,,manual,false,https://www.jdsportsfashion.com/investors/,"DTLR is treated as a JD Sports Fashion brand/subsidiary; parent-level financials only."
footlocker,footlocker,subsidiary_of_public,partial,parent_level,,DICK'S Sporting Goods Inc.,DKS,NYSE,US,,manual,true,https://investors.dicks.com/,"Foot Locker needs event-date review because it became linked to DICK'S via acquisition; use parent-level financials only after confirming acquisition timing."
anthropologie,anthropologie,subsidiary_of_public,partial,parent_level,,"Urban Outfitters, Inc.",URBN,NASDAQ,US,,manual,false,https://www.urbn.com/investor-relations,"Anthropologie is an URBN brand; parent-level financials only."
urbanoutfitters,urbanoutfitters,subsidiary_of_public,partial,parent_level,,"Urban Outfitters, Inc.",URBN,NASDAQ,US,,manual,false,https://www.urbn.com/investor-relations,"Urban Outfitters retail brand maps to URBN corporate financials; parent-level financials include multiple brands."
bhldn,BHLDN,subsidiary_of_public,partial,parent_level,,"Urban Outfitters, Inc.",URBN,NASDAQ,US,,manual,false,https://www.urbn.com/investor-relations,"BHLDN is treated as an Anthropologie/URBN brand; parent-level financials only."
coach,coach,subsidiary_of_public,partial,parent_level,,Tapestry Inc.,TPR,NYSE,US,,manual,false,https://www.tapestry.com/investors/,"Corrects false positive Coach A Co., Ltd.; Coach is a Tapestry brand."
dsw,dsw,subsidiary_of_public,partial,parent_level,,Designer Brands Inc.,DBI,NYSE,US,,manual,false,https://investors.designerbrands.com/,"Corrects false positive DSW Capital plc; DSW/Designer Shoe Warehouse maps to Designer Brands."
rayban,rayban,subsidiary_of_public,partial,parent_level,,EssilorLuxottica SA,EL.PA,Euronext Paris,France,,manual,false,https://www.essilorluxottica.com/investors/,"Ray-Ban is an EssilorLuxottica brand; parent-level financials only."
eyebuydirect,EyeBuyDirect,subsidiary_of_public,partial,parent_level,,EssilorLuxottica SA,EL.PA,Euronext Paris,France,,manual,false,https://www.essilorluxottica.com/investors/,"EyeBuyDirect is treated as an EssilorLuxottica-owned eyewear brand; parent-level financials only."
sephora,sephora,subsidiary_of_public,partial,parent_level,,LVMH Moet Hennessy Louis Vuitton SE,MC.PA,Euronext Paris,France,,manual,false,https://www.lvmh.com/investors,"Sephora is an LVMH selective retailing brand; parent-level financials only."
americaneagle,AmericanEagle,direct_public,yes,merchant_level,"American Eagle Outfitters, Inc.",,AEO,NYSE,US,,manual,false,https://investors.aeo-inc.com/,"Direct public company."
instacart,Instacart,direct_public,yes,merchant_level,"Maplebear Inc.",,CART,NASDAQ,US,,manual,false,https://investors.instacart.com/,"Instacart public entity is Maplebear Inc.; direct merchant-level public financials."
hotelscom,Hotels.com,subsidiary_of_public,partial,parent_level,,"Expedia Group, Inc.",EXPE,NASDAQ,US,,manual,false,https://investors.expediagroup.com/,"Hotels.com is an Expedia Group brand; parent-level financials only."
expedia,Expedia,direct_public,yes,merchant_level,"Expedia Group, Inc.",,EXPE,NASDAQ,US,,manual,false,https://investors.expediagroup.com/,"Direct public company; clears automated medium-confidence review flag."
temu,Temu,subsidiary_of_public,partial,parent_level,,PDD Holdings Inc.,PDD,NASDAQ,China,,manual,false,https://investor.pddholdings.com/,"Temu is linked to PDD Holdings; parent-level financials only."
thehomedepot,TheHomeDepot,direct_public,yes,merchant_level,"The Home Depot, Inc.",,HD,NYSE,US,,manual,false,https://ir.homedepot.com/,"Direct public company."
ticketmaster,Ticketmaster,subsidiary_of_public,partial,parent_level,,"Live Nation Entertainment, Inc.",LYV,NYSE,US,,manual,false,https://investors.livenationentertainment.com/,"Ticketmaster is a Live Nation Entertainment business; parent-level financials only."
samsclub,Sam'sClub,subsidiary_of_public,partial,parent_level,,Walmart Inc.,WMT,NYSE,US,,manual,false,https://stock.walmart.com/,"Sam's Club is a Walmart segment/brand; parent-level financials only."
academysportsoutdoors,academysportsoutdoors,direct_public,yes,merchant_level,"Academy Sports and Outdoors, Inc.",,ASO,NASDAQ,US,,manual,false,https://investors.academy.com/,"Direct public company."
bestbuy,bestbuy,direct_public,yes,merchant_level,"Best Buy Co., Inc.",,BBY,NYSE,US,,manual,false,https://investors.bestbuy.com/,"Direct public company."
esteelauder,esteelauder,direct_public,yes,merchant_level,"The Estee Lauder Companies Inc.",,EL,NYSE,US,,manual,false,https://www.elcompanies.com/en/investors,"Direct public company/brand family."
clinique,Clinique,subsidiary_of_public,partial,parent_level,,"The Estee Lauder Companies Inc.",EL,NYSE,US,,manual,false,https://www.elcompanies.com/en/investors,"Clinique is an Estee Lauder brand; parent-level financials only."
dermalogica,Dermalogica,subsidiary_of_public,partial,parent_level,,Unilever PLC,UL,NYSE ADR,UK,,manual,false,https://www.unilever.com/investors/,"Dermalogica is treated as a Unilever brand; parent-level financials only."
levis,levis,direct_public,yes,merchant_level,"Levi Strauss & Co.",,LEVI,NYSE,US,,manual,false,https://www.levistrauss.com/investors/,"Direct public company."
michaelkors,michaelkors,subsidiary_of_public,partial,parent_level,,Capri Holdings Limited,CPRI,NYSE,US,,manual,false,https://www.capriholdings.com/investors/,"Michael Kors is a Capri Holdings brand; parent-level financials only."
prettylittlething,prettylittlething,subsidiary_of_public,partial,parent_level,,Boohoo Group plc,BOO.L,London Stock Exchange,UK,,manual,false,https://www.boohooplc.com/investors/,"PrettyLittleThing is a Boohoo Group brand; parent-level financials only."
princesspolly,PrincessPolly,subsidiary_of_public,partial,parent_level,,a.k.a. Brands Holding Corp.,AKA,NYSE,US,,manual,false,https://investors.aka-brands.com/,"Princess Polly is treated as an a.k.a. Brands portfolio brand; parent-level financials only."
1800flowers,1800flowers,direct_public,yes,merchant_level,"1-800-FLOWERS.COM, Inc.",,FLWS,NASDAQ,US,,manual,false,https://investors.1800flowers.com/,"Direct public company."
bathandbodyworks,Bath&BodyWorks,direct_public,yes,merchant_level,"Bath & Body Works, Inc.",,BBWI,NYSE,US,,manual,false,https://www.bbwinc.com/investors/,"Direct public company."
bookingcom,Booking.com,subsidiary_of_public,partial,parent_level,,Booking Holdings Inc.,BKNG,NASDAQ,US,,manual,false,https://www.bookingholdings.com/investors/,"Booking.com is a Booking Holdings brand; parent-level financials only."
brixton,Brixton,private_no_public_match,no,none_public,,,,,,,manual,false,https://www.brixton.com/,"Corrects false positive Brixton Metals; apparel brand is not the matched mining company."
goat,GOAT,private_no_public_match,no,none_public,,,,,,,manual,false,https://www.goat.com/,"Corrects false positive GOAT Industries; GOAT sneaker marketplace is not the matched public entity."
farfetch,farfetch,acquired_or_delisted,partial,parent_level,,Coupang Inc.,CPNG,NYSE,US,,manual,true,https://ir.aboutcoupang.com/,"Farfetch requires special handling because it was acquired/delisted; do not use as ordinary direct-public merchant."
allbirds,Allbirds,direct_public,yes,merchant_level,Allbirds Inc.,,BIRD,NASDAQ,US,,manual,true,https://ir.allbirds.com/,"Override primary ticker; keep review flag because corporate status/name may require date-specific checking."
lululemon,lululemon,direct_public,yes,merchant_level,lululemon athletica inc.,,LULU,NASDAQ,US,,manual,false,https://corporate.lululemon.com/investors,"Direct public company; clears automated medium-confidence review flag."
asos,asos,direct_public,yes,merchant_level,ASOS Plc,,ASC.L,London Stock Exchange,UK,,manual,false,https://www.asosplc.com/investors/,"Direct public company; preferred primary London listing rather than OTC ADR."
boohoo,boohoo,direct_public,yes,merchant_level,Boohoo Group plc,,BOO.L,London Stock Exchange,UK,,manual,false,https://www.boohooplc.com/investors/,"Direct public company; preferred primary London listing."
pandora,pandora,direct_public,yes,merchant_level,Pandora A/S,,PNDORA.CO,Nasdaq Copenhagen,Denmark,,manual,false,https://investor.pandoragroup.com/,"Direct public company; preferred primary Copenhagen listing."
fever,Fever,private_no_public_match,no,none_public,,,,,,,manual,false,https://feverup.com/,"Manual audit v2: merchant is not independently public; clears false match to Fevertree Drinks."
golde,Golde,private_no_public_match,no,none_public,,,,,,,manual,false,https://golde.co/,"Manual audit v2: merchant appears private/not publicly traded; clears false match to Goldenwell Biotech."
leam,Leam,private_no_public_match,no,none_public,,,,,,,manual,false,https://www.leam.com/,"Manual audit v2: LEAM Roma/LEAM S.r.l. appears privately held; clears false match to U-LEAM."
nova,Nova,private_no_public_match,no,none_public,,,,,,,manual,false,,"Manual audit v2: merchant is not independently public; if this is Fashion Nova, treat as privately held."
prism,Prism,private_no_public_match,no,none_public,,,,,,,manual,false,,"Manual audit v2: Prism merchant/brand context is not publicly traded; clears false match to S-Prism."
sea,Sea,private_no_public_match,no,none_public,,,,,,,manual,false,,"Manual audit v2: merchant context is not Sea Limited; treat as private/not publicly traded."
staple,Staple,private_no_public_match,no,none_public,,,,,,,manual,false,https://www.staplepigeon.com/,"Manual audit v2: Staple/Pigeon merchant is not the matched public entity."
staples,Staples,private_no_public_match,no,none_public,,,,,,,manual,false,https://www.staples.com/,"Manual audit v2: Staples is treated as private/not independently public."
ymc,YMC,private_no_public_match,no,none_public,,,,,,,manual,false,,"Manual audit v2: YMC/You Must Create appears privately held; clears false match to Ymc Co."
bally,bally,private_no_public_match,no,none_public,,,,,,,manual,false,,"Manual audit v2: Bally fashion merchant is not Bally's Corporation; treat as private/not independently public."
blume,blume,private_no_public_match,no,none_public,,,,,,,manual,false,https://www.blume.com/,"Manual audit v2: Blume appears private; clears false match to BluMetric."
burga,burga,private_no_public_match,no,none_public,,,,,,,manual,false,https://burga.com/,"Manual audit v2: BURGA appears private; clears false match to Burgan Bank."
floyd,floyd,private_no_public_match,no,none_public,,,,,,,manual,false,,"Manual audit v2: Floyd home/furniture merchant is not Floyd Public Company Limited."
larq,larq,private_no_public_match,no,none_public,,,,,,,manual,false,https://www.livelarq.com/,"Manual audit v2: LARQ is not the matched public entity; treat as not independently public."
shoprite,shoprite,private_no_public_match,no,none_public,,,,,,,manual,false,https://www.shoprite.com/,"Manual audit v2: ShopRite/Wakefern context is cooperative/private, not Shoprite Holdings Ltd."
magis,magis,private_no_public_match,no,none_public,,,,,,,manual,false,,"Manual audit v2: Magis merchant context is not the matched public Magis S.p.A.; treat as not independently public."
ink,ink,private_no_public_match,no,none_public,,,,,,,manual,true,,"Manual audit v2: clears false match to E Ink; entity context remains ambiguous, so keep review flag."
plug,plug,private_no_public_match,no,none_public,,,,,,,manual,false,https://plug.tech/,"Manual audit v2: Plug.tech merchant is not Plug Power or i-plug; treat as private/not independently public."
sfk,sfk,private_no_public_match,no,none_public,,,,,,,manual,false,,"Manual audit v2: SFK merchant context appears private; clears false match to SFK Construction."
graco,Graco,subsidiary_of_public,partial,parent_level,,Newell Brands Inc.,NWL,NASDAQ,US,,manual,false,https://www.newellbrands.com/our-brands/graco,"Manual audit v2: baby products Graco maps to Newell Brands, not industrial Graco Inc.; parent-level financials only."
kayak,kayak,subsidiary_of_public,partial,parent_level,,"Booking Holdings Inc.",BKNG,NASDAQ,US,,manual,false,https://www.bookingholdings.com/brands/,"Manual audit v2: KAYAK maps to Booking Holdings; parent-level financials only."
smith,Smith,subsidiary_of_public,partial,parent_level,,"Safilo Group S.p.A.",SFL.MI,Borsa Italiana,Italy,,manual,false,https://www.safilogroup.com/en/brands/smith,"Manual audit v2: Smith Optics maps to Safilo Group; parent-level financials only."
sam,sam,subsidiary_of_public,partial,parent_level,,"Caleres, Inc.",CAL,NYSE,US,,manual,true,https://www.caleres.com/brands/,"Manual audit v2: if this merchant is Sam Edelman, map to Caleres; keep review flag because standalone Sam is ambiguous."
fila,Fila,subsidiary_of_public,partial,parent_level,,FILA Holdings Corp.,081660.KS,Korea Exchange,South Korea,,manual,false,https://www.filaholdings.com/,"Manual audit v2: FILA brand maps to FILA Holdings/Korea-listed parent; parent-level financials only."
uniqlo,uniqlo,subsidiary_of_public,partial,parent_level,,"Fast Retailing Co., Ltd.",9983.T,Tokyo Stock Exchange,Japan,,manual,false,https://www.fastretailing.com/eng/group/strategy/uniqlo.html,"Manual audit v2: UNIQLO maps to Fast Retailing; parent-level financials only."
lot78,lot78,direct_public_candidate_needs_review,unknown,unknown,"Lot78, Inc.",,LOTE,OTC Markets,US,,manual,true,,"Manual audit v2: not an ordinary independent listed analysis sample; OTC/pink-sheet style ticker requires special handling before any financial extraction."
